UX,UY,UZ,PX,PY,PZ
-50761094.74,-273746280,-2378477.244,107821918.8,-129243084,-6990024.802
-48612457.49,-279415353.2,-2602160.651,110908287.2,-130089116.1,-7148091.278
-46392022.9,-285039445.4,-2829369.508,113972718.6,-130909412.8,-7304743.878
-44101102.18,-290616578.2,-3060000.992,117015613.7,-131704968.7,-7460016.149
-41741060.49,-296144812.2,-3293949.708,120037365.5,-132476723.1,-7613940.453
-39313315.73,-301622248.7,-3531107.773,123038358.4,-133225563.7,-7766548.009
-36819337.27,-307047031,-3771364.91,126018968.7,-133952330.9,-7917868.938
-34260644.71,-312417345.4,-4014608.541,128979564.2,-134657820.1,-8067932.306
-31638806.56,-317731423.5,-4260723.876,131920504.2,-135342785.6,-8216766.171
-28955438.91,-322987542.3,-4509594.014,134842139.6,-136007943,-8364397.619
-26212204.04,-328184026.2,-4761100.031,137744812.8,-136653971.7,-8510852.808
-23410809.05,-333319248.1,-5015121.088,140628857.8,-137281517.3,-8656157.003
-20553004.4,-338391630.3,-5271534.52,143494600.4,-137891193.9,-8800334.619
-17640582.5,-343399645.9,-5530215.938,146342358.2,-138483586,-8943409.249
-14675376.15,-348341819.7,-5791039.332,149172441.2,-139059250.4,-9085403.703
-11659257.12,-353216729.1,-6053877.169,151985151.2,-139618717.7,-9226340.041
-8594134.557,-358023005.4,-6318600.495,154780782.4,-140162494.1,-9366239.599
-5481953.482,-362759334.5,-6585079.039,157559621.9,-140691062.9,-9505123.027
-2324693.179,-367424458,-6853181.314,160321949.1,-141204885.7,-9643010.311
875634.3727,-372017173.8,-7122774.72,163068036.5,-141704403.6,-9779920.802
4116986.11,-376536336.8,-7393725.651,165798149.7,-142190038.6,-9915873.242
7397289.514,-380980860.2,-7665899.594,168512547.6,-142662194.6,-10050885.79
10714444.24,-385349715.6,-7939161.238,171211482.5,-143121258.4,-10184976.05
14066323.79,-389641934.1,-8213374.575,173895200.4,-143567600.4,-10318161.07
17450777.14,-393856606.4,-8488403.005,176563941,-144001576.1,-10450457.41
20865630.46,-397992884,-8764109.443,179217938.3,-144423526.2,-10581881.11
24308688.76,-402049979.3,-9040356.42,181857420.2,-144833777.8,-10712447.75
27777737.63,-406027166.1,-9317006.19,184482609,-145232645.1,-10842172.43
31270544.88,-409923780.1,-9593920.83,187093721.6,-145620430,-10971069.85
34784862.29,-413739219.4,-9870962.348,189690969.6,-145997422.6,-11099154.25
38318427.32,-417472944.5,-10147992.79,192274559.4,-146363902.1,-11226439.47
41868964.82,-421124478.9,-10424874.32,194844692.4,-146720136.8,-11352938.98
45434188.73,-424693409.2,-10701469.36,197401565.1,-147066385.5,-11478665.85
49011803.82,-428179385.3,-10977640.66,199945369.3,-147402897.1,-11603632.8
52599507.4,-431582120.7,-11253251.41,202476292.5,-147729911.6,-11727852.2
56194991.07,-434901392.2,-11528165.36,204994517.3,-148047660.3,-11851336.08
59795942.36,-438137040.6,-11802246.88,207500222.3,-148356366.3,-11974096.15
63400046.53,-441288969.9,-12075361.07,209993582,-148656244.8,-12096143.81
67004988.23,-444357148.2,-12347373.92,212474766.7,-148947503.6,-12217490.15
70608453.22,-447341606.7,-12618152.29,214943942.8,-149230343.4,-12338145.97
74208130.06,-450242440.2,-12887564.12,217401273,-149504957.9,-12458121.81
77801711.8,-453059806.9,-13155478.46,219846916.1,-149771534.5,-12577427.92
81386897.69,-455793927.9,-13421765.58,222281027.6,-150030254.3,-12696074.28
84961394.82,-458445087,-13686297.08,224703759.4,-150281292.3,-12814070.66
88522919.8,-461013630.8,-13948945.95,227115259.8,-150524818.1,-12931426.53
92069200.43,-463499968,-14209586.69,229515674.3,-150760995.5,-13048151.18
95597977.31,-465904568.9,-14468095.38,231905144.7,-150989983.3,-13164253.64
99107005.49,-468227965.5,-14724349.78,234283810.2,-151211935.4,-13279742.73
102594056.1,-470470750.5,-14978229.42,236651806.7,-151427000.6,-13394627.05
106056917.9,-472633577.4,-15229615.66,239009267.1,-151635323.2,-13508915.01
109493398.9,-474717159.3,-15478391.83,241356321.9,-151837043.3,-13622614.82
112901327.9,-476722268.8,-15724443.23,243693098.4,-152032296.6,-13735734.47
116278556.3,-478649737.2,-15967657.3,246019721.5,-152221214.6,-13848281.8
119622959.1,-480500454,-16207923.62,248336313.3,-152403925.2,-13960264.46
122932436.9,-482275366,-16445134.06,250642993.7,-152580552.3,-14071689.92
126204917.2,-483975476.8,-16679182.8,252939879.8,-152751216.3,-14182565.47
129438355.9,-485601845.8,-16909966.43,255227086.5,-152916034.1,-14292898.27
132630738.8,-487155587.6,-17137384.04,257504726.3,-153075119.3,-14402695.28
135780083,-488637871.2,-17361337.23,259772909.6,-153228582.3,-14511963.34
138884438.2,-490049919,-17581730.27,262031744.4,-153376530.2,-14620709.13
141941888.5,-491393005.7,-17798470.09,264281336.7,-153519067.4,-14728939.18
144950553.2,-492668458,-18011466.38,266521790.4,-153656295.4,-14836659.88
147908588.5,-493877653,-18220631.65,268753207.4,-153788312.7,-14943877.49
150814188.8,-495022017.4,-18425881.31,270975687.5,-153915215.4,-15050598.14
153665588,-496103026.7,-18627133.69,273189328.7,-154037096.9,-15156827.82
156461060.6,-497122203.8,-18824310.14,275394227.1,-154154048.1,-15262572.41
159198923.1,-498081118,-19017335.05,277590477.1,-154266157.6,-15367837.66
161877535.1,-498981384.1,-19206135.94,279778171.1,-154373511.6,-15472629.19
164495300.6,-499824661,-19390643.49,281957399.9,-154476194.1,-15576952.54
167050669.3,-500612650.4,-19570791.59,284128252.7,-154574287.1,-15680813.11
169542137.2,-501347095.9,-19746517.4,286290817,-154667870.2,-15784216.2
171968248.3,-502029781.8,-19917761.4,288445178.6,-154757021.2,-15887167.01
174327595.4,-502662531.3,-20084467.41,290591421.8,-154841815.9,-15989670.63
176618820.9,-503247205.7,-20246582.65,292729629.5,-154922328.4,-16091732.06
178840618.2,-503785703.1,-20404057.79,294859883,-154998630.6,-16193356.19
180991732.7,-504279956.6,-20556846.96,296982262.1,-155070793,-16294547.84
183070962.4,-504731933.4,-20704907.8,299096845.4,-155138884.2,-16395311.7
