UX,UY,UZ,PX,PY,PZ
-47921190.25,120244160.9,4663872.233,-47921190.25,120244160.9,4663872.233
-49606012.17,117140601.1,4694149.5,-49609783.51,117153052.8,4694482.467
-51259288.35,113957418.9,4721513.312,-51274541.92,114005690.5,4722837.766
-52878774.43,110695531.3,4745846.725,-52913332.65,110800623.3,4748801.726
-54462252.23,107355919,4767035.165,-54523848.72,107536382.9,4772228.638
-56007531.36,103939624.9,4784966.5,-56103593.96,104211488.9,4792962.809
-57512450.22,100447751.6,4799531.044,-57649866.63,100824456.4,4810837.841
-58974875.79,96881457.69,4810621.428,-59159740.88,97373803.32,4825675.78
-60392697.7,93241944.1,4818131.86,-60630044.21,93858054.59,4837285.922
-61763778.37,89530375.39,4821952.449,-62057316.27,90275718.73,4845461.79
-63079364.73,85749804.73,4820803.24,-63437050.2,86622692.42,4849837.142
-64336855.64,81906921.52,4814293.382,-64993014.43,82786010.28,4849104.023
-65541933.93,77996675.35,4803835.843,-66495308.93,78881499.74,4844402.352
-66692601.15,74020378.04,4789332.506,-67937842.84,74906212.15,4835351.417
-67786985.05,69979563.34,4770696.054,-69315513.65,70859489.82,4821686.495
-68823272.41,65875842.28,4747843.829,-70622913.96,66741003.32,4803135.377
-69799701.53,61710884.63,4720697.026,-71854315.34,62550763.37,4779417.167
-70714561.24,57486413.06,4689180.511,-73003673.62,58289170.08,4750243.383
-71566191.54,53204200.04,4653222.804,-74064645.82,53957072.55,4715319.937
-72352984.55,48866065.68,4612756.096,-75030618.8,49555834.04,4674349.835
-73073385.68,44473875.79,4567716.286,-75894751.12,45087400.01,4627036.586
-73725894.84,40029540.14,4518043.026,-76650030.05,40554366.51,4573088.36
-74309067.62,35535010.73,4463679.759,-77289345.1,35960046.18,4512222.926
-74821516.42,30992280.01,4404573.768,-77805579.37,31308528.03,4444173.322
-75261911.62,26403379.18,4340676.211,-78191719.06,26604726.79,4368694.22
-75628982.61,21770376.41,4271942.162,-78440980.37,21854417,4285568.831
-75921518.82,17095375.02,4198330.642,-78546951.69,17064246.74,4194616.154
-76138370.71,12380511.74,4119804.652,-78503747.34,12241725.89,4095698.281
-76278450.66,7627954.805,4036331.199,-78306167.45,7395184.804,3988727.406
-76340733.85,2839902.126,3947881.322,-77949856.69,2533700.067,3873672.12
-76324259.05,-1981420.586,3854430.11,-77431453.53,-2333013.679,3750562.558
-76228129.38,-6833761.73,3755956.721,-76748720.74,-7194744.643,3619493.976
-76051512.98,-11714845.73,3652444.394,-75900648.25,-12040953.55,3480628.383
-75793643.62,-16622374.98,3543880.46,-74887520.24,-16860965.33,3334193.988
-75453821.33,-21554031.79,3430256.346,-73710940.73,-21644173.83,3180482.342
-75031412.85,-26507480.33,3311567.576,-72373814.64,-26380248.78,3019843.26
-74525852.06,-31480368.65,3187813.775,-70880284.69,-31059334.11,2852677.742
-73936640.46,-36470330.63,3058998.659,-69235627.91,-35672226.86,2679429.308
-73263347.38,-41474988,2925130.028,-67446118.43,-40210527.93,2500574.24
-72505610.32,-46491952.29,2786219.753,-65518865.35,-44666758.5,2316611.301
-71663135.14,-51518826.89,2642283.763,-63461635.8,-49034438.64,2128051.471
-70735696.16,-56553209.03,2493342.023,-61282673.04,-53308127.94,1935408.217
-69723136.3,-61592691.75,2339418.511,-58990518.83,-57483430.38,1739188.682
-68625367.07,-66634865.95,2180541.193,-56593847.67,-61556967.94,1539886.084
-67442368.54,-71677322.37,2016741.994,-54101318.41,-65526328.52,1337973.486
-66174189.22,-76717653.55,1848056.764,-51521446.84,-69389994.63,1133898.979
-64820945.94,-81753455.85,1674525.241,-48862500.82,-73147258.86,928082.2338
-63382823.62,-86782331.4,1496191.013,-46132418.05,-76798132.06,720912.3128
-61860074.95,-91801890.06,1313101.475,-43338745.17,-80343249.04,512746.5759
-60253020.16,-96809751.37,1125307.782,-40488596.14,-83783775.61,303910.5046
-58562046.51,-101803546.5,932864.8016,-37588627.4,-87121320.11,94698.26073
-56787607.95,-106780920,735831.0605,-34645027.04,-90357851.23,-114626.1953
