UX,UY,UZ,PX,PY,PZ
-16498261.78,132113688,2996481.968,-16498261.78,132113688,2996481.968
-18581029.32,129273779.7,3054990.549,-18580585.64,129288373.2,3055117.533
-20655724.9,126348730.1,3111864.58,-20654642.4,126405614.9,3112395.066
-22719945.76,123338783.8,3166968.743,-22718953.96,123463295.9,3168205.375
-24771295.76,120244253.7,3220169.042,-24771882.04,120459194,3222429.467
-26807387.34,117065520.4,3271332.886,-26811608.79,117390977.4,3274937.496
-28825843,113803030.8,3320329.161,-28836114.79,114256200.6,3325587.573
-30824296.27,110457295.3,3367028.209,-30843153.6,111052299.1,3374224.391
-32800389.54,107028878.8,3411301.464,-32830221.52,107776582,3420677.5
-34751747.51,103518345.7,3453018.325,-34794514.76,104426201.8,3464758.376
-36673743.57,99926273.77,3491823.932,-36732631.58,100996219.9,3506178.813
-38563489.34,96255883.33,3527555.068,-38838782.49,97418993.98,3545636.887
-40421747.41,92506107.13,3560380.214,-40912422.86,93760032.21,3582137.167
-42246237.82,88677692.03,3590177.642,-42948257.24,90014558.74,3615330.768
-44034734.44,84771589.2,3616831.765,-44941252.1,86179416.04,3644920.723
-45785045.26,80788833.29,3640230.216,-46885810.63,82251508.48,3670584.582
-47495010.55,76730527.71,3660263.472,-48775704.31,78227822.23,3691971.087
-49162503.58,72597840.08,3676824.817,-50604009.54,74105482.84,3708698.046
-50785432.13,68392000.01,3689810.384,-52363045.6,69881834.12,3720350.687
-52361739.99,64114297.57,3699119.222,-54044315.85,65554538.23,3726480.546
-53889408.71,59766081.91,3704653.373,-55638456.23,61121699.13,3726605.121
-55366459.23,55348760.02,3706317.947,-57135196.81,56582012.14,3720208.599
-56790953.55,50863795.44,3704021.204,-58523343.87,51934941.45,3706744.059
-58160996.36,46312707.02,3697674.627,-59790792.52,47180926.03,3685637.622
-59474736.62,41697067.58,3687192.997,-60924581.3,42321612.2,3656295.091
-60730369.15,37018502.56,3672494.463,-61911002.68,37360107.08,3618111.624
-61926136.15,32278688.64,3653500.612,-62735783.25,32301242.36,3570484.943
-63060328.66,27479352.3,3630136.534,-63384347.09,27151831.44,3512832.412
-64131288,22622268.34,3602330.885,-63842171.26,21920895.79,3444612.021
-65137407.17,17709258.38,3570015.945,-64095235.44,16619829.71,3365346.827
-66077132.22,12742189.27,3533127.676,-64130555.84,11262468.13,3274651.763
-66948963.48,7722971.523,3491605.773,-63936778.55,5865021.665,3172261.022
-67751456.86,2653557.668,3445393.714,-63504790.69,445850.0877,3058053.506
-68483225.03,-2464059.426,3394438.805,-62828293.1,-4974940.09,2932073.396
-69142938.53,-7627848.249,3338692.226,-61904270.06,-10376065.98,2794542.873
-69729326.92,-12835740.39,3278109.065,-60733293.96,-15735772.24,2645864.617
-70241179.76,-18085632.31,3212648.354,-59319618.34,-21032609.83,2486612.845
-70677347.59,-23375387.15,3142273.106,-57671039.39,-26246214.52,2317513.232
-71036742.89,-28702836.52,3066950.335,-55798538.01,-31358007.73,2139413.631
-71318340.9,-34065782.41,2986651.088,-53715745.04,-36351754.43,1953248.764
-71521180.45,-39461999.01,2901350.459,-51438293.03,-41213936.17,1760002.655
-71644364.7,-44889234.66,2811027.612,-48983125.73,-45933926.53,1560672.434
-71687061.84,-50345213.7,2715665.789,-46367830.85,-50503982.54,1356236.435
-71648505.69,-55827638.49,2615252.325,-43610046.49,-54919085.15,1147628.435
-71527996.29,-61334191.26,2509778.649,-40726972.61,-59176671.83,935718.805
