UX,UY,UZ,PX,PY,PZ
-71324900.4,-66862536.17,2399240.29,-37734999.63,-63276305.18,721302.3777
-71038651.96,-72410321.22,2283636.875,-34649451.58,-67219316.29,505092.2661
-70668752.45,-77975180.26,2162972.12,-31484430.91,-71008452.83,287718.4764
-70214771.25,-83554734.99,2037253.829,-28252747.15,-74647552.47,69730.11266
-69676345.86,-89146596.92,1906493.874,-24965909.91,-78141253.43,-148399.9664
-69053182.15,-94748369.42,1770708.185,-21634168.4,-81494747.63,-366268.9926
-68345054.48,-100357649.7,1629916.729,-18266581.72,-84713576.46,-583537.3897
-67551805.76,-105972030.7,1484143.485,-14871107.63,-87803466.61,-799921.6799
-66673347.52,-111589103.5,1333416.42,-11454700.24,-90770201.58,-1015187.572
-65709659.83,-117206458.7,1177767.461,-8023409.99,-93619523.56,-1229143.47
-64660791.22,-122821688.7,1017232.457,-4582481.226,-96357060.86,-1441634.533
-63526858.53,-128432390.1,851851.1477,-1136444.472,-98988275.84,-1652537.348
-62308046.66,-134036164.9,681667.1222,2310798.244,-101518429.4,-1861755.212
-61004608.35,-139630622.9,506727.7756,5755895.795,-103952558.2,-2069214.02
-59616863.79,-145213383.7,327084.2638,9195978.272,-106295462,-2274858.695
-58145200.29,-150782078.5,142791.4546,12628595,-108551697.9,-2478650.115
-56590071.78,-156334351.8,-46092.12411,16051659.77,-110725581,-2680562.486
-54951998.35,-161867863.8,-239504.3394,19463402.76,-112821188.1,-2880581.107
-53231565.67,-167380291.8,-437379.5108,22862328.47,-114842365,-3078700.465
-51429424.42,-172869332.4,-639648.4706,26247179.01,-116792735.1,-3274922.629
-49546289.58,-178332702.9,-846238.6274,29616902.24,-118675709.6,-3469255.887
-47582939.76,-183768143.7,-1057074.031,32970623.99,-120494498,-3661713.603
-45540216.43,-189173419.5,-1272075.443,36307624.05,-122252119.4,-3852313.247
-43419023.09,-194546321.5,-1491160.404,39627315.35,-123951413.3,-4041075.591
-41220324.44,-199884668.7,-1714243.308,42929225.83,-125595050.6,-4228024.022
-38945145.45,-205186310,-1941235.483,46212982.87,-127185544.1,-4413183.972
-36594570.42,-210449125.5,-2172045.258,49478299.67,-128725258.1,-4596582.445
-34169741.99,-215671028.4,-2406578.054,52724963.54,-130216418.6,-4778247.612
-31671860.07,-220849966.4,-2644736.457,55952825.68,-131661122.3,-4958208.481
-29102180.83,-225983923.4,-2886420.308,59161792.38,-133061344.5,-5136494.622
-26462015.48,-231070921,-3131526.785,62351817.35,-134418947.9,-5313135.932
-23752729.18,-236109019.8,-3379950.492,65522895.05,-135735689.7,-5488162.45
-20975739.82,-241096321,-3631583.546,68675054.93,-137013228.6,-5661604.195
-18132516.78,-246030967.9,-3886315.672,71808356.39,-138253131.5,-5833491.043
-15224579.65,-250911147.1,-4144034.289,74922884.45,-139456879.4,-6003852.618
-12253496.95,-255735089.8,-4404624.61,78018745.92,-140625872.9,-6172718.208
-9220884.754,-260501073.2,-4667969.731,81096066.11,-141761438.1,-6340116.697
-6128405.363,-265207421.7,-4933950.731,84154985.97,-142864830.5,-6506076.511
-2977765.864,-269852508.2,-5202446.768,87195659.56,-143937240.4,-6670625.576
229283.2729,-274434755.1,-5473335.179,90218251.9,-144979796.5,-6833791.284
3490949.662,-278952635.2,-5746491.576,93222937.04,-145993570.2,-6995600.473
6805400.479,-283404673.5,-6021789.947,96209896.45,-146979579,-7156079.405
10170763.97,-287789447.4,-6299102.76,99179317.55,-147938789.7,-7315253.758
13585130.97,-292105588.2,-6578301.061,102131392.5,-148872121.9,-7473148.618
17046556.48,-296351781.9,-6859254.579,105066316.9,-149780450.6,-7629788.478
20553061.2,-300526769.8,-7141831.826,107984289.3,-150664609.1,-7785197.239
24102633.16,-304629350,-7425900.204,110885510,-151525391.4,-7939398.213
27693229.3,-308658377.5,-7711326.105,113770180.3,-152363554.3,-8092414.128
31322777.09,-312612765.3,-7997975.018,116638502.2,-153179820.1,-8244267.137
34989176.2,-316491485.1,-8285711.63,119490677.5,-153974878.1,-8394978.828
38690300.11,-320293568,-8574399.934,122326907.8,-154749386.8,-8544570.231
42423997.82,-324018104.7,-8863903.331,125147393.5,-155503975.5,-8693061.834
46188095.49,-327664246.7,-9154084.735,127952334,-156239246.1,-8840473.589
49980398.13,-331231206.3,-9444806.677,130741927.1,-156955774.3,-8986824.931
53798691.33,-334718257.4,-9735931.411,133516369,-157654111.4,-9132134.786
57640742.89,-338124735.8,-10027321.01,136275853.7,-158334785.6,-9276421.583
61504304.62,-341450039.4,-10318837.49,139020573.2,-158998302.8,-9419703.272
65387113.96,-344693628.7,-10610342.89,141750717.3,-159645148.4,-9561997.333
69286895.75,-347855027.4,-10901699.39,144466473.1,-160275787.9,-9703320.791
73201363.94,-350933822,-11192769.39,147168025.4,-160890668.2,-9843690.227
77128223.31,-353929662.4,-11483415.65,149855556.5,-161490218.5,-9983121.794
81065171.17,-356842262,-11773501.36,152529245.8,-162074851,-10121631.22
85009899.1,-359671397.8,-12062890.26,155189270.1,-162644962.3,-10259233.85
88960094.65,-362416910.4,-12351446.74,157835803.6,-163200933.5,-10395944.6
92913443.07,-365078704,-12639035.89,160469017.6,-163743131.3,-10531778.04
96867629.01,-367656746.4,-12925523.69,163089080.6,-164271908.8,-10666748.35
100820338.2,-370151069.1,-13210777.02,165696158.4,-164787605.9,-10800869.35
104769259.3,-372561766.9,-13494663.8,168290414,-165290550.3,-10934154.52
108712085.3,-374888997.8,-13777053.1,170872007.7,-165781057.7,-11066617.01
112646515.4,-377132982.9,-14057815.17,173441097,-166259432.3,-11198269.63
116570256.7,-379294006.2,-14336821.63,175997836.6,-166725967.9,-11329124.88
120481025.9,-381372414.2,-14613945.45,178542378.7,-167180947.8,-11459194.95
124376550.7,-383368615.5,-14889061.14,181074872.6,-167624645.5,-11588491.74
128254571.8,-385283080.5,-15162044.77,183595465.2,-168057325.2,-11717026.85
132112844.1,-387116341.3,-15432774.13,186104300.5,-168479242.2,-11844811.6
135949138.9,-388868990.5,-15701128.71,188601520.3,-168890643,-11971857.06
139761244.9,-390541681.4,-15966989.91,191087263.6,-169291766.1,-12098174.01
143546970,-392135127.5,-16230241.02,193561666.9,-169682842.2,-12223773
147304143.3,-393650101,-16490767.37,196024864.4,-170064094.4,-12348664.31
151030615.8,-395087433.6,-16748456.39,198476987.8,-170435738.6,-12472857.99
154724262.7,-396448014.5,-17003197.66,200918166.5,-170797983.9,-12596363.87
158382984.6,-397732790.6,-17254883.04,203348527.5,-171151032.7,-12719191.53
162004709.1,-398942765.4,-17503406.73,205768195.5,-171495081.2,-12841350.36
165587391.9,-400078998.5,-17748665.31,208177293.1,-171830319.6,-12962849.51
169129019,-401142604.4,-17990557.86,210575940.5,-172156931.9,-13083697.94
172627607.3,-402134752.1,-18228986,212964256,-172475097,-13203904.41
176081206.7,-403056663.9,-18463853.98,215342355.5,-172784988,-13323477.48
179487901.1,-403909614.7,-18695068.74,217710353.1,-173086773.1,-13442425.52
182845809.8,-404694931,-18922539.97,220068360.7,-173380615.6,-13560756.73
186153089.3,-405413990,-19146180.19,222416488.2,-173666673.8,-13678479.12
189407933.7,-406068218.5,-19365904.79,224754843.7,-173945101.5,-13795600.53
192608577,-406659091.8,-19581632.12,227083533.3,-174216048.2,-13912128.64
195753293.7,-407188132.9,-19793283.51,229402661.3,-174479659,-14028070.95
198840400.2,-407656911.1,-20000783.36,231712330,-174736075.1,-14143434.82
201868256.3,-408067041.2,-20204059.19,234012640.1,-174985433.5,-14258227.44
204835265.9,-408420182.1,-20403041.68,236303690.5,-175227867.7,-14372455.88
207739878.7,-408718035.5,-20597664.72,238585578.4,-175463507.3,-14486127.03
210580590.7,-408962345,-20787865.47,240858399.2,-175692478.5,-14599247.65
213355945.9,-409154894.9,-20973584.41,243122246.8,-175914904.1,-14711824.37
216064537,-409297508.3,-21154765.36,245377213.5,-176130903.5,-14823863.68
218705006.5,-409392046.8,-21331355.54,247623389.9,-176340593.2,-14935371.95
221276047.9,-409440408.1,-21503305.62,249860865.2,-176544086.4,-15046355.41
223776406.5,-409444525.6,-21670569.72,252089727,-176741493.4,-15156820.17
226204880.2,-409406366.3,-21833105.5,254310061.5,-176932921.7,-15266772.22
228560320.6,-409327929.9,-21990874.15,256521953.4,-177118476.1,-15376217.44
230841634,-409211247.2,-22143840.41,258725485.9,-177298258.6,-15485161.59
233047781.9,-409058378.4,-22291972.66,260920741.1,-177472368.7,-15593610.33
235177782.1,-408871412.1,-22435242.89,263107799.5,-177640903.4,-15701569.18
237230709.2,-408652463.5,-22573626.73,265286740.3,-177803957.4,-15809043.61
239205695.5,-408403672.9,-22707103.52,267457641.5,-177961623,-15916038.93
241101931.8,-408127204.5,-22835656.24,269620579.9,-178113990,-16022560.39
242918667.8,-407825244.2,-22959271.62,271775630.8,-178261146.6,-16128613.12
244655212.6,-407499998.7,-23077940.1,273922868.5,-178403178.3,-16234202.18
