UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
-71521180.45,-39461999.01,2901350.459,-1.888379395,-62.6400864,-1.016303298,-51438293.03,-41213936.17,1760002.655,27.42139562,-55.47006652,-2.273770336
-71644364.7,-44889234.66,2811027.612,-0.961503265,-62.98597822,-1.074535681,-48983125.73,-45933926.53,1560672.434,29.37713845,-53.77406538,-2.338462945
-71687061.84,-50345213.7,2715665.789,-0.02537833,-63.30540041,-1.132938351,-46367830.85,-50503982.54,1356236.435,31.12797632,-52.00463913,-2.392046962
-71648505.69,-55827638.49,2615252.325,0.919232205,-63.59810929,-1.191463925,-43610046.49,-54919085.15,1147628.435,32.67637412,-50.19193196,-2.435160643
-71527996.29,-61334191.26,2509778.649,1.871558912,-63.86388381,-1.250064971,-40726972.61,-59176671.83,935718.805,34.02978067,-48.3625411,-2.468620469
-71324900.4,-66862536.17,2399240.29,2.830826838,-64.10252575,-1.308694052,-37734999.63,-63276305.18,721302.3777,35.19926344,-46.53901517,-2.493346919
-71038651.96,-72410321.22,2283636.875,3.796256207,-64.31385978,-1.367303768,-34649451.58,-67219316.29,505092.2661,36.19824296,-44.73975379,-2.510301943
-70668752.45,-77975180.26,2162972.12,4.767063129,-64.49773359,-1.425846795,-31484430.91,-71008452.83,287718.4764,37.04141373,-42.97919919,-2.520440439
-70214771.25,-83554734.99,2037253.829,5.742460302,-64.65401798,-1.484275932,-28252747.15,-74647552.47,69730.11266,37.74388669,-41.26821309,-2.524675557
-69676345.86,-89146596.92,1906493.874,6.721657717,-64.78260686,-1.542544138,-24965909.91,-78141253.43,-148399.9664,38.32055177,-39.61454896,-2.523856229
-69053182.15,-94748369.42,1770708.185,7.703863368,-64.88341735,-1.600604576,-21634168.4,-81494747.63,-366268.9926,38.78563655,-38.02335257,-2.518754598
-68345054.48,-100357649.7,1629916.729,8.688283947,-64.95638971,-1.658410649,-18266581.72,-84713576.46,-583537.3897,39.15242712,-36.49764548,-2.510060954
-67551805.76,-105972030.7,1484143.485,9.674125551,-65.00148739,-1.715916048,-14871107.63,-87803466.61,-799921.6799,39.43311501,-35.03876479,-2.498383957
-66673347.52,-111589103.5,1333416.42,10.66059438,-65.01869693,-1.773074783,-11454700.24,-90770201.58,-1015187.572,39.63873695,-33.64674638,-2.484254361
-65709659.83,-117206458.7,1177767.461,11.64689741,-65.00802796,-1.829841229,-8023409.99,-93619523.56,-1229143.47,39.77917951,-32.32064798,-2.468130804
-64660791.22,-122821688.7,1017232.457,12.63224312,-64.96951306,-1.88617016,-4582481.226,-96357060.86,-1441634.533,39.86322631,-31.05881465,-2.450406653
-63526858.53,-128432390.1,851851.1477,13.61584214,-64.90320769,-1.94201679,-1136444.472,-98988275.84,-1652537.348,39.89863091,-29.85909219,-2.431417189
-62308046.66,-134036164.9,681667.1222,14.59690793,-64.80919004,-1.997336808,2310798.244,-101518429.4,-1861755.212,39.89220325,-28.71899544,-2.41144666
-61004608.35,-139630622.9,506727.7756,15.57465747,-64.68756093,-2.052086414,5755895.795,-103952558.2,-2069214.02,39.84990109,-27.63583873,-2.390734922
-59616863.79,-145213383.7,327084.2638,16.54831189,-64.53844356,-2.10622236,9195978.272,-106295462,-2274858.695,39.7769209,-26.60683517,-2.369483518
-58145200.29,-150782078.5,142791.4546,17.51709714,-64.36198341,-2.159701978,12628595,-108551697.9,-2478650.115,39.67778455,-25.62917098,-2.347861125
-56590071.78,-156334351.8,-46092.12411,18.48024466,-64.15834796,-2.212483219,16051659.77,-110725581,-2680562.486,39.55641995,-24.7000598,-2.326008361
-54951998.35,-161867863.8,-239504.3394,19.43699195,-63.92772651,-2.264524684,19463402.76,-112821188.1,-2880581.107,39.41623449,-23.81678149,-2.304041985
-53231565.67,-167380291.8,-437379.5108,20.38658325,-63.67032993,-2.31578566,22862328.47,-114842365,-3078700.465,39.26018102,-22.97670891,-2.282058525
-51429424.42,-172869332.4,-639648.4706,21.32827011,-63.38639037,-2.366226145,26247179.01,-116792735.1,-3274922.629,39.09081659,-22.17732538,-2.260137405
-49546289.58,-178332702.9,-846238.6274,22.26131203,-63.076161,-2.415806888,29616902.24,-118675709.6,-3469255.887,38.91035422,-21.41623526,-2.238343608
-47582939.76,-183768143.7,-1057074.031,23.18497702,-62.73991573,-2.46448941,32970623.99,-120494498,-3661713.603,38.72070836,-20.69116934,-2.216729958
-45540216.43,-189173419.5,-1272075.443,24.0985422,-62.37794884,-2.51223604,36307624.05,-122252119.4,-3852313.247,38.52353452,-19.99998631,-2.195339049
-43419023.09,-194546321.5,-1491160.404,25.00129433,-61.99057471,-2.559009938,39627315.35,-123951413.3,-4041075.591,38.32026384,-19.34067161,-2.174204878
-41220324.44,-199884668.7,-1714243.308,25.8925304,-61.57812744,-2.604775125,42929225.83,-125595050.6,-4228024.022,38.11213305,-18.71133426,-2.15335424
-38945145.45,-205186310,-1941235.483,26.77155814,-61.1409605,-2.649496507,46212982.87,-127185544.1,-4413183.972,37.90021042,-18.11020236,-2.13280789
