UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
-1720446.085,-203581076.2,-4323179.463,38.67079182,-47.46624266,-3.187602505,30437902.91,-139637286.7,-4295570.895,35.61396661,-19.58006317,-2.139595209
1649502.185,-207651261.4,-4599825.541,39.33389304,-46.74796415,-3.216005254,33509704.08,-141305624.6,-4479705.389,35.49156359,-19.04212199,-2.122794635
5075860.059,-211658606.9,-4878863.989,39.9764888,-46.01171709,-3.242978111,36570687.13,-142928314.8,-4662393.09,35.3636729,-18.52326138,-2.106107925
8556835.149,-215601585.7,-5160170.419,40.59810247,-45.25809419,-3.268501711,39620409.4,-144506969.7,-4843644.65,35.23101045,-18.02264794,-2.089553462
12090594.63,-219478722.6,-5443618.821,41.19827467,-44.48770024,-3.29255785,42658486.91,-146043130.9,-5023472.186,35.09421975,-17.53948204,-2.073146752
15675266.76,-223288595,-5729081.661,41.77656363,-43.7011516,-3.315129496,45684588.39,-147538272.6,-5201889.041,34.95387908,-17.07299784,-2.056900784
19308942.37,-227029834.4,-6016429.987,42.33254539,-42.89907574,-3.3362008,48698429.99,-148993804.2,-5378909.583,34.81050798,-16.62246302,-2.040826338
22989676.45,-230701126.5,-6305533.526,42.86581405,-42.08211063,-3.3557571,51699770.38,-150411073.3,-5554549.028,34.66457313,-16.18717812,-2.024932261
26715489.72,-234301212.9,-6596260.793,43.37598202,-41.25090426,-3.373784925,54688406.5,-151791368.5,-5728823.28,34.51649361,-15.76647583,-2.009225711
30484370.19,-237828891.5,-6888479.187,43.86268021,-40.4061141,-3.390272004,57664169.58,-153135922,-5901748.797,34.36664565,-15.35972004,-1.993712372
34294274.82,-241283017.4,-7182055.101,44.32555824,-39.54840656,-3.405207268,60626921.69,-154445912.3,-6073342.47,34.2153669,-14.96630475,-1.978396637
38143131.07,-244662503.6,-7476854.025,44.76428461,-38.67845647,-3.418580852,63576552.53,-155722467,-6243621.522,34.06296029,-14.585653,-1.963281784
42028838.61,-247966321.8,-7772740.646,45.17854686,-37.79694651,-3.4303841,66512976.6,-156966664.9,-6412603.415,33.90969747,-14.21721572,-1.948370111
45949270.94,-251193502.9,-8069578.956,45.56805173,-36.9045667,-3.440609561,69436130.63,-158179538.6,-6580305.771,33.75582189,-13.8604705,-1.933663074
49902277.03,-254343137.9,-8367232.357,45.93252531,-36.00201386,-3.449250997,72345971.28,-159362076.6,-6746746.309,33.60155163,-13.51492046,-1.919161394
53885683.06,-257414378.2,-8665563.762,46.27171312,-35.08999104,-3.456303375,75242473.03,-160515225.7,-6911942.777,33.44708192,-13.18009303,-1.904865158
57897294.05,-260406436,-8964435.704,46.58538026,-34.16920704,-3.46176287,78125626.33,-161639892.5,-7075912.912,33.29258732,-12.85553883,-1.89077391
61934895.56,-263318585.4,-9263710.435,46.87331144,-33.2403758,-3.465626862,80995435.91,-162736946.3,-7238674.386,33.13822386,-12.54083052,-1.876886721
65996255.42,-266150161.9,-9563250.033,47.13531114,-32.30421592,-3.467893932,83851919.22,-163807219.9,-7400244.776,32.98413075,-12.23556168,-1.863202263
70079125.42,-268900563.6,-9862916.507,47.37120361,-31.3614501,-3.46856386,86695105.08,-164851512.1,-7560641.528,32.83043212,-11.93934583,-1.849718864
74181243,-271569251.1,-10162571.9,47.58083292,-30.41280462,-3.467637618,89525032.44,-165870589,-7719881.93,32.67723844,-11.65181532,-1.836434564
78300333.03,-274155747.9,-10462078.38,47.76406303,-29.45900877,-3.465117368,92341749.26,-166865185.8,-7877983.091,32.52464787,-11.37262041,-1.823347155
82434109.43,-276659640.6,-10761298.37,47.92077779,-28.50079438,-3.461006452,95145311.48,-167836008.3,-8034961.92,32.37274745,-11.10142832,-1.810454227
86580277,-279080579.1,-11060094.61,48.05088094,-27.53889525,-3.455309389,97935782.12,-168783734,-8190835.109,32.2216142,-10.83792235,-1.7977532
90736533.03,-281418276.7,-11358330.31,48.15429614,-26.57404663,-3.448031866,100713230.5,-169709013.9,-8345619.122,32.07131608,-10.58180102,-1.785241356
94900569.11,-283672510.6,-11655869.2,48.23096691,-25.60698472,-3.439180727,103477731.3,-170612473.6,-8499330.182,31.92191285,-10.33277727,-1.772915863
